PMID,Title,Authors,First Author,DOI,Publication Year,len
35768754,Prospective Evaluation of a Machine-Learning Prediction Model for Missed Radiology Appointments,"Rothenberg S, Bame B, Herskovitz E.",Rothenberg S,10.1007/s10278-022-00670-3,2022,11
34550460,Improving the safety of outpatient parenteral antimicrobial therapy for patients with solid tumors,"Robins A, Dishner E, McDaneld P, Rowan M, Bartek J, Jiang Y, Adachi J, Dailey Garnes NJM.",Robins A,10.1007/s00520-021-06549-3,2022,13
33853336,"Preventive measures, risk behaviour and the most common health problems in Czech travellers: a prospective questionnaire study in post-travel clinic outpatients","Grebenyuk V, Lhoťan J, Rudová T, Richterová L, Roháčová H, Stejskal F, Trojánek M.",Grebenyuk V,,2021,21
28781416,Noncoding Centromeric RNA Expression Impairs Chromosome Stability in Human and Murine Stem Cells,"Chan DYL, Moralli D, Khoja S, Monaco ZL.",Chan DYL,10.1155/2017/7506976,2017,13
36591614,"Exposed - a semantic concept analysis of its origin, meaning change over time and its relevance for caring science","Almerud Österberg S, Hörberg U, Ozolins LL, Werkander Harstäde C, Elmqvist C.",Almerud Österberg S,10.1080/17482631.2022.2163701,2023,19
32294220,Individualised nutritional support in medical inpatients - a practical guideline,"Baumgartner A, Kägi-Braun N, Tribolet P, Gomes F, Stanga Z, Schuetz P.",Baumgartner A,10.4414/smw.2020.20204,2020,10
33883414,What Influences Outcomes From Inpatient Multidisciplinary Pain Management Programs?: A Systematic Review and Meta-analysis,"Lewis GN, Bean DJ.",Lewis GN,10.1097/AJP.0000000000000941,2021,14
33308102,Patients experience of warmth and coldness in connection with surgery - a phenomenological study,"Gustafsson IL, Rask M, Schildmeijer K, Elmqvist C.",Gustafsson IL,10.1080/17482631.2020.1858540,2021,14
34687783,Unresolved inflammation during hospitalization is associated with post-discharge institutionalization and mortality in geriatric rehabilitation inpatients: The RESORT cohort,"Guan L, Tuttle CSL, Reijnierse EM, Lim WK, Maier AB.",Guan L,10.1016/j.exger.2021.111597,2021,18
35199662,Is It Time for the Mental Health Field to Consider Unplanned Discharge a Key Metric of Patient Safety?,"Riblet NB, Gottlieb DJ, Watts BV, Levis M, Scott R, Shiner B.",Riblet NB,10.1097/NMD.0000000000001425,2022,18
29393379,Role of microRNAs in progenitor cell commitment and osteogenic differentiation in health and disease (Review),"Valenti MT, Dalle Carbonare L, Mottes M.",Valenti MT,10.3892/ijmm.2018.3452,2018,15
30541580,"""It's on everyone's plate"": a qualitative study into physicians' perceptions of responsibility for smoking cessation","Meijer E, Kampman M, Geisler MS, Chavannes NH.",Meijer E,10.1186/s13011-018-0186-x,2018,15
25564652,Tetraspanin CD9 and ectonucleotidase CD73 identify an osteochondroprogenitor population with elevated osteogenic properties,"Singh A, Lester C, Drapp R, Hu DZ, Glimcher LH, Jones D.",Singh A,10.1242/dev.113571,2015,13
27802428,"Effect of Melatonin on Telocytes in the Seminal Vesicle of the Soay Ram: An Immunohistochemical, Ultrastructural and Morphometrical Study","Abd-Elhafeez HH, Mokhtar DM, Hassan AH.",Abd-Elhafeez HH,10.1159/000449500,2017,19
36206949,Quality of Telehealth-Delivered Inpatient Palliative Care During the Early COVID-19 Pandemic,"Soliman AA, Akgün KM, Coffee J, Kapo J, Morrison LJ, Hopkinson E, Schulman-Green D, Feder SL.",Soliman AA,10.1016/j.jpainsymman.2022.09.014,2023,11
26633538,Mast Cell Proteases 6 and 7 Stimulate Angiogenesis by Inducing Endothelial Cells to Release Angiogenic Factors,"de Souza Junior DA, Borges AC, Santana AC, Oliver C, Jamur MC.",de Souza Junior DA,10.1371/journal.pone.0144081,2015,16
28825722,The long noncoding RNA SNHG1 promotes tumor growth through regulating transcription of both local and distal genes,"Sun Y, Wei G, Luo H, Wu W, Skogerbø G, Luo J, Chen R.",Sun Y,10.1038/onc.2017.286,2017,17
27488376,Nitric oxide signals are interlinked with calcium signals in normal pancreatic stellate cells upon oxidative stress and inflammation,"Jakubowska MA, Ferdek PE, Gerasimenko OV, Gerasimenko JV, Petersen OH.",Jakubowska MA,10.1098/rsob.160149,2016,18
31669183,Human keratinocyte stem cells: From cell biology to cell therapy,Nanba D.,Nanba D,10.1016/j.jdermsci.2019.10.002,2019,10
32929735,Short-term clinical risk assessment and management: Comparing the Brockville Risk Checklist and Hamilton Anatomy of Risk Management,"Healey LV, Mullally K, Mamak M, Chaimowitz GA, Ahmed AG, Seto MC.",Healey LV,10.1002/bsl.2479,2020,17
32701360,Applicability of SPMSQ in illiterate outpatients in clinics: The validity and reliability of the Short Portable Mental Status Questionnaire,"Kojaie-Bidgoli A, Fadayevatan R, Sharifi F, Alizadeh-Khoei M, Vahabi Z, Aminalroaya R.",Kojaie-Bidgoli A,10.1080/23279095.2020.1792909,2022,19
33760307,Outcomes for adults with anorexia nervosa who do not respond early to outpatient treatment,"Wade T, Ambwani S, Cardi V, Albano G, Treasure J.",Wade T,10.1002/eat.23508,2021,14
31422929,Final results of the randomised evaluation of short-term dual antiplatelet therapy in patients with acute coronary syndrome treated with a new-generation stent (REDUCE trial),"De Luca G, Damen SA, Camaro C, Benit E, Verdoia M, Rasoul S, Liew HB, Polad J, Ahmad WA, Zambahari R, Postma S, Kedhi E, Suryapranata H; Collaborators.",De Luca G,10.4244/EIJ-D-19-00539,2019,24
34768294,"[Changes in Somatic, Behavioral, and Psychosocial Outcomes during the Inpatient Rehabilitation of Patients with Metabolic Syndrome - A Longitudinal Study of the META-Program]","Giesler JM, Dederichs-Masius U, Glattacker M.",Giesler JM,10.1055/a-1647-6896,2022,23
29904927,Mesenchymal stromal cells from amniotic fluid are less prone to senescence compared to those obtained from bone marrow: An in vitro study,"Alessio N, Pipino C, Mandatori D, Di Tomo P, Ferone A, Marchiso M, Melone MAB, Peluso G, Pandolfi A, Galderisi U.",Alessio N,10.1002/jcp.26845,2018,22
28886268,Implanted hair-follicle-associated pluripotent (HAP) stem cells encapsulated in polyvinylidene fluoride membrane cylinders promote effective recovery of peripheral nerve injury,"Yamazaki A, Obara K, Tohgi N, Shirai K, Mii S, Hamada Y, Arakawa N, Aki R, Hoffman RM, Amoh Y.",Yamazaki A,10.1080/15384101.2017.1363941,2017,19
25644453,Bone marrow-derived mesenchymal cells feature selective migration behavior on submicro- and nano-dimensional multi-patterned substrates,"Klymov A, Bronkhorst EM, Te Riet J, Jansen JA, Walboomers XF.",Klymov A,10.1016/j.actbio.2015.01.016,2015,14
25749911,The effect of LDL particles on the behaviour of epithelial noncancer and cancer cell lines after in vitro induced injury,"Resnik N, Mavrič A, Keše D, Veranič P, Zupančič D.",Resnik N,10.1007/s00709-015-0784-7,2015,20
25304350,High resolution imaging and function of nuclear G protein-coupled receptors (GPCRs),"Bhosle VK, Gobeil F Jr, Rivera JC, Ribeiro-da-Silva A, Chemtob S.",Bhosle VK,10.1007/978-1-4939-1755-6_8,2015,11
28982665,Human Induced Pluripotent Stem Cell-Derived Macrophages for Unraveling Human Macrophage Biology,"Zhang H, Reilly MP.",Zhang H,10.1161/ATVBAHA.117.309195,2017,11
29656720,The Risk of Cross Infection in the Emergency Department: A Simulation Study,"Hertzberg VS, Wang YA, Elon LK, Lowery-North DW.",Hertzberg VS,10.1017/ice.2018.61,2018,12
30572109,Outcomes of Reduced-Intensity Conditioning Allogeneic Hematopoietic Cell Transplantation Performed in the Inpatient versus Outpatient Setting,"Guru Murthy GS, Hari PN, Szabo A, Pasquini M, Narra R, Khan M, Abedin S, Chhabra S, Dhakal B, D'Souza A, Drobyski WR, Rizzo JD, Runaas L, Shah NN, Shaw B, Saber W, Fenske T, Hamadani M.",Guru Murthy GS,10.1016/j.bbmt.2018.12.069,2019,15
29651556,"Neurospheres from neural stem/neural progenitor cells (NSPCs) of non-hydrocephalic HTx rats produce neurons, astrocytes and multiciliated ependyma: the cerebrospinal fluid of normal and hydrocephalic rats supports such a differentiation","Henzi R, Guerra M, Vío K, González C, Herrera C, McAllister P, Johanson C, Rodríguez EM.",Henzi R,10.1007/s00441-018-2828-8,2018,29
25973952,Time and Cell Type Dependency of Survival Responses in Co-cultured Tumor and Fibroblast Cells after Exposure to Modulated Radiation Fields,"Butterworth KT, McMahon SJ, McKee JC, Patel G, Ghita M, Cole AJ, McGarry CK, O'Sullivan JM, Hounsell AR, Prise KM.",Butterworth KT,10.1667/RR13992.1,2015,20
28369869,Connexin43 intercellular communication drives the early differentiation of human bone marrow stromal cells into osteoblasts,"Talbot J, Brion R, Lamora A, Mullard M, Morice S, Heymann D, Verrecchia F.",Talbot J,10.1002/jcp.25938,2018,15
30111816,Derivation of induced pluripotent stem cells in Japanese macaque (Macaca fuscata),"Nakai R, Ohnuki M, Kuroki K, Ito H, Hirai H, Kitajima R, Fujimoto T, Nakagawa M, Enard W, Imamura M.",Nakai R,10.1038/s41598-018-30734-w,2018,11
35481811,Encountering patients with anorexia nervosa - An emotional roller coaster. nurses' lived experiences of encounters in psychiatric inpatient care,"Davén J, Hellzen O, Häggström M.",Davén J,10.1080/17482631.2022.2069651,2022,19
31109362,"Prevalence of antibiotic use in a tertiary care hospital in Italy, 2008-2016","Ciofi Degli Atti ML, D'Amore C, Ceradini J, Paolini V, Ciliento G, Chessa G, Raponi M.",Ciofi Degli Atti ML,10.1186/s13052-019-0645-7,2019,12
34287124,"SARS-CoV-2 Prevalence among Outpatients during Community Transmission, Zambia, July 2020","Hines JZ, Fwoloshi S, Kampamba D, Barradas DT, Banda D, Zulu JE, Wolkon A, Yingst S, Boyd MA, Siwingwa M, Chirwa L, Kapina M, Sinyange N, Mukonka V, Malama K, Mulenga LB, Agolory S.",Hines JZ,10.3201/eid2708.210502,2021,10
28601076,The Centrosome as the Main Integrator of Endothelial Cell Functional Activity,"Shakhov AS, Alieva IB.",Shakhov AS,10.1134/S0006297917060037,2017,11
34080130,"Extent, reasons and consequences of off-labeled and unlicensed drug prescription in hospitalized children: a narrative review","Shuib W, Wu XY, Xiao F.",Shuib W,10.1007/s12519-021-00430-3,2021,16
31747118,"Primary osteoblasts, osteoblast precursor cells or osteoblast-like cell lines: Which human cell types are (most) suitable for characterizing 45S5-bioactive glass?","Wilkesmann S, Fellenberg J, Nawaz Q, Reible B, Moghaddam A, Boccaccini AR, Westhauser F.",Wilkesmann S,10.1002/jbm.a.36846,2020,20
29439684,Prediction of post-acute care demand in medical and neurological inpatients: diagnostic assessment of the post-acute discharge score - a prospective cohort study,"Conca A, Gabele A, Reutlinger B, Schuetz P, Kutz A, Haubitz S, Faessler L, Batschwaroff M, Schild U, Caldara Z, Regez K, Schirlo S, Vossler G, Kahles T, Nedeltchev K, Keller A, Huber A, De Geest S, Buergi U, Tobias P, Louis Simonet M, Mueller B, Schäfer-Keller P.",Conca A,10.1186/s12913-018-2897-0,2018,22
28918192,Dielectric properties of isolated adrenal chromaffin cells determined by microfluidic impedance spectroscopy,"Sabuncu AC, Stacey M, Craviso GL, Semenova N, Vernier PT, Leblanc N, Chatterjee I, Zaklit J.",Sabuncu AC,10.1016/j.bioelechem.2017.09.001,2018,12
34497085,"Multimorbidity of chronic non-communicable diseases: burden, care provision and outcomes over time among patients attending chronic outpatient medical care in Bahir Dar, Ethiopia-a mixed methods study protocol","Eyowas FA, Schneider M, Alemu S, Getahun FA.",Eyowas FA,10.1136/bmjopen-2021-051107,2021,27
29562779,Mapping of the Human Placenta: Experimental Evidence of Amniotic Epithelial Cell Heterogeneity,"Centurione L, Passaretta F, Centurione MA, Munari S, Vertua E, Silini A, Liberati M, Parolini O, Di Pietro R.",Centurione L,10.1177/0963689717725078,2018,12
35447002,Coding the negative emotions of family members and patients among the high-risk preoperative conversations with the Chinese version of VR-CoDES,"Qian L, Liu X, Yin M, Zhao Y, Tie B, Wang Q, Zhang Y, Yuan S.",Qian L,10.1111/hex.13502,2022,20
34620998,Comparation of different malnutrition screening tools according to GLIM criteria in cancer outpatients,"Gascón-Ruiz M, Casas-Deza D, Torres-Ramón I, Zapata-García M, Alonso N, Sesma A, Lambea J, Álvarez-Alejandro M, Quílez E, Isla D, Arbonés-Mainar JM.",Gascón-Ruiz M,10.1038/s41430-021-01021-1,2022,13
28362402,Evaporation-reducing Culture Condition Increases the Reproducibility of Multicellular Spheroid Formation in Microtiter Plates,"Das V, Fürst T, Gurská S, Džubák P, Hajdúch M.",Das V,10.3791/55403,2017,13
27739044,Circulating Tumor Cells: When a Solid Tumor Meets a Fluid Microenvironment,Rejniak KA.,Rejniak KA,10.1007/978-3-319-42023-3_5,2016,11
35920539,Hospital indicators and inpatient behavior in a psychiatric hospital that implemented the smoking ban,"Oliveira RM, Santos JLF, Furegato ARF.",Oliveira RM,10.1590/1518-8345.5666.3611,2022,14
28750084,A computational modelling framework to quantify the effects of passaging cell lines,"Jin W, Penington CJ, McCue SW, Simpson MJ.",Jin W,10.1371/journal.pone.0181941,2017,12
35347067,Improving participation and engagement with a COVID-19 surveillance programme in an outpatient setting,"Wemyss C, Hobson S, Sweeney J, Chua PR, Binti Mohd Khairi SA, Edwards M, Burns J, McGoldrick N, Braid R, Gorman M, Redmond S, Clark C, Brown C, Watling C, Conway DI, Culshaw S.",Wemyss C,10.1136/bmjoq-2021-001700,2022,13
27399207,Electromagnetic homeostasis and the role of low-amplitude electromagnetic fields on life organization,"De Ninno A, Pregnolato M.",De Ninno A,10.1080/15368378.2016.1194293,2017,12
26195263,Insights into collective cell behaviour from populations of coupled chemical oscillators,"Taylor AF, Tinsley MR, Showalter K.",Taylor AF,10.1039/c5cp01964h,2015,11
33006941,Determinants of Patients' Intention to Use the Online Inquiry Services Provided by Internet Hospitals: Empirical Evidence From China,"Li D, Hu Y, Pfaff H, Wang L, Deng L, Lu C, Xia S, Cheng S, Zhu X, Wu X.",Li D,10.2196/22716,2020,18
26754918,Transcriptomic Changes in Osteoblasts Following Endothelial Cell-Cocultivation Suggest a Role of Extracellular Matrix in Cellular Interaction,"Lampert FM, Simunovic F, Finkenzeller G, Pfeifer D, Stark GB, Winninger O, Steiner D.",Lampert FM,10.1002/jcb.25486,2016,16
36652895,Sex-specific differences in diagnostic approaches of inpatient sleep testing for obstructive sleep apnea,"Pena-Orbea C, Wang L, Srisawart P, Foldvary-Schaefer N, Mehra R.",Pena-Orbea C,10.1016/j.sleep.2022.12.011,2023,13
29514899,Role of Microvesicles in the Spread of Herpes Simplex Virus 1 in Oligodendrocytic Cells,"Bello-Morales R, Praena B, de la Nuez C, Rejas MT, Guerra M, Galán-Ganga M, Izquierdo M, Calvo V, Krummenacher C, López-Guerrero JA.",Bello-Morales R,10.1128/JVI.00088-18,2018,14
30919725,Short-term effects of X-ray on viscoelastic properties of epithelial cells,"Heydarian A, Khorramymehr S, Vasaghi-Gharamaleki B.",Heydarian A,10.1177/0954411919837563,2019,10
25725997,Taurine enhances excitability of mouse cochlear neural stem cells by selectively promoting differentiation of glutamatergic neurons over GABAergic neurons,"Wang Q, Zhu GH, Xie DH, Wu WJ, Hu P.",Wang Q,10.1007/s11064-015-1546-9,2015,19
31599982,Navigating the cartographies of trust: how patients and carers establish the credibility of online treatment claims,"Petersen A, Tanner C, Munsie M.",Petersen A,10.1111/1467-9566.12872,2019,16
30085329,"Prevalence of Psoriasis and Psoriatic Arthritis and Patient Perceptions of Severity in Sweden, Norway and Denmark: Results from the Nordic Patient Survey of Psoriasis and Psoriatic Arthritis","Danielsen K, Duvetorp A, Iversen L, Østergaard M, Seifert O, Tveit KS, Skov L.",Danielsen K,10.2340/00015555-3017,2019,27
28564607,Specification and Diversification of Pericytes and Smooth Muscle Cells from Mesenchymoangioblasts,"Kumar A, D'Souza SS, Moskvin OV, Toh H, Wang B, Zhang J, Swanson S, Guo LW, Thomson JA, Slukvin II.",Kumar A,10.1016/j.celrep.2017.05.019,2017,11
32820591,"Refining interprofessional, outpatient transitions of care services to reduce hospital readmissions","Smith JN, Zupec J, LaMar S, Pontiggia L, Rhodes C.",Smith JN,10.1111/jep.13463,2021,11
36044307,Orbital Exenteration Reconstruction for Medically Complex Patients: Bilaminate Dermal Substitute as an Alternative to Major Surgery,"Bothwick V, Polanik M, Lujan-Hernandez J, Akyurek M.",Bothwick V,10.1097/SCS.0000000000008927,2023,16
34021554,Patients' and professionals' beliefs about the impact of social stigmatization on treatment of gambling-related disorders,"Dąbrowska K, Wieczorek Ł.",Dąbrowska K,10.12740/PP/112402,2021,15
26424882,The Synaptic and Morphological Basis of Orientation Selectivity in a Polyaxonal Amacrine Cell of the Rabbit Retina,"Murphy-Baum BL, Taylor WR.",Murphy-Baum BL,10.1523/JNEUROSCI.1712-15.2015,2015,17
29204833,The Macula Flava of the Human Vocal Fold as a Stem Cell Microenvironment,Sato K.,Sato K,10.1007/978-3-319-69194-7_9,2017,13
36882474,Defining metabolic migraine with a distinct subgroup of patients with suboptimal inflammatory and metabolic markers,"Gross EC, Putananickal N, Orsini AL, Schoenen J, Fischer D, Soto-Mota A.",Gross EC,10.1038/s41598-023-28499-y,2023,15
25925835,"Survival, differentiation, and neuroprotective mechanisms of human stem cells complexed with neurotrophin-3-releasing pharmacologically active microcarriers in an ex vivo model of Parkinson's disease","Daviaud N, Garbayo E, Sindji L, Martínez-Serrano A, Schiller PC, Montero-Menei CN.",Daviaud N,10.5966/sctm.2014-0139,2015,23
29426889,SiO(2) nanoparticles modulate the electrical activity of neuroendocrine cells without exerting genomic effects,"Distasi C, Ruffinatti FA, Dionisi M, Antoniotti S, Gilardino A, Croci G, Riva B, Bassino E, Alberto G, Castroflorio E, Incarnato D, Morandi E, Martra G, Oliviero S, Munaron L, Lovisolo D.",Distasi C,10.1038/s41598-018-21157-8,2018,13
30180539,Nanometer-Resolved Mapping of Cell-Substrate Distances of Contracting Cardiomyocytes Using Surface Plasmon Resonance Microscopy,"Kreysing E, Hassani H, Hampe N, Offenhäusser A.",Kreysing E,10.1021/acsnano.8b01396,2018,13
36375025,Nonpharmacological interventions to promote sleep and rest among hospitalized pediatric patients in general pediatric wards: a best practice implementation project,"McGraw S, Palokas M, Harbour L.",McGraw S,10.1097/XEB.0000000000000332,2023,20
30085084,Measuring the impact of varying denominator definitions on standardized antibiotic consumption rates: implications for antimicrobial stewardship programmes,"Avedissian SN, Scheetz MH, Zembower TR, Silkaitis C, Maxwell R, Jenkins C, Postelnick MJ, Sutton SH, Rhodes NJ.",Avedissian SN,10.1093/jac/dky275,2018,17
25138722,Characterizing Pluripotent Stem Cells Using the TaqMan® hPSC Scorecard(TM) Panel,"Fergus J, Quintanilla R, Lakshmipathy U.",Fergus J,10.1007/7651_2014_109,2016,10
